Title,Year,Type_Long,Type,Link,En_mi_web
"Producción de Girasol Campaña 99/00. Sipowicz, A., Lorda, H.; Bellini Saibene, Y. La Arena del Campo. Diario La Arena, Santa Rosa, La Pampa. 18 de marzo de 2000.",2000,Popular science articles,Popular science articles,,
Red Agroeconómica de Administración de Recursos. R.A.D.A.R. Sipowicz A.; Lorda H.O.; Bellini Saibene Y.; Lucchetti P. AgroInformática 2000. 8 al 10 de Diciembre. La Dulce. Buenos Aires.,2000,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,,
"Resultados de la Encuesta Agrícola 1999. I. Región Pampeana del Proyecto RADAR. Lorda, H.; Bellini Saibene, Y.; Sipowicz, A.; Colazo, R.; Roberto, Z.; Sarasola, J.; Lucchetti, P. Boletín de divulgación Técnica Nº 1. Marzo 2000. 50 pp. Ediciones AgroRADAR.",2000,Journals,Journals,,
"Zona I. Provincia de La Pampa. Lorda, H; Bellini Saibene Y. Agro RADAR Boletín Informativo Nº 2. ISSN: 1666 - 6852. Pp. 1-2. Septiembre 2000.",2000,Popular science articles,Popular science articles,,
"Zona II. Provincia de La Pampa. Lorda, H; Bellini Saibene Y. Agro RADAR Boletín Informativo Nº 3. ISSN: 1666 - 6852. Pp. 1-2. Octubre 2000.",2000,Popular science articles,Popular science articles,,
"Zona III. Provincia de La Pampa. Lorda, H; Bellini Saibene Y. Agro RADAR Boletín Informativo Nº 4. ISSN: 1666 - 6852. Pp. 1-2. Noviembre 2000.",2000,Popular science articles,Popular science articles,,
"Zona IV. Provincia de La Pampa. Lorda, H; Bellini Saibene Y. Agro RADAR Boletín Informativo Nº 5. ISSN: 1666 - 6852. Pp. 1-2. Diciembre 2000.",2000,Popular science articles,Popular science articles,,
"¿Dónde queda la producción después de la cosecha?. Lorda, H.; Bellini Saibene Y; Sipowicz, A. La Arena del Campo. Diario La Arena. 02 de Junio de 2001.",2001,Popular science articles,Popular science articles,,
"Almacenaje de Granos en el área RADAR – 1º Parte. Lorda, H.; Bellini Saibene Y.; Lucchetti, P.; Roberto Z.; Sipowicz A.y Coma C. AgroRADAR Boletín Informativo Nº 12. ISSN: 1666 - 6852. Pp. 6-8. Septiembre 2001.",2001,Popular science articles,Popular science articles,,
"Almacenaje de Granos en el área RADAR – 2º Parte. Lorda, H.; Bellini Saibene Y.; Lucchetti, P.; Roberto Z.; Sipowicz A.y Coma C. AgroRADAR Boletín Informativo Nº 13. ISSN: 1666 - 6852. Pp. 7-8. Octubre 2001.",2001,Popular science articles,Popular science articles,,
"Almacenaje de Granos en el área RADAR – 3º Parte. Lorda, H.; Bellini Saibene Y.; Lucchetti, P.; Roberto Z.; Sipowicz A.y Coma C. AgroRADAR Boletín Informativo Nº 14. ISSN: 1666 - 6852. Pp. 6-8. Noviembre 2001.",2001,Popular science articles,Popular science articles,,
"Campaña 2000/2001 en La Pampa. Lorda, H; Sipowicz, A.; Bellini Saibene Yanina. La Arena del Campo. Diario La Arena. Santa Rosa, La Pampa. 14 de Abril 2001.",2001,Popular science articles,Popular science articles,,
"Caracterización del Almacenaje de Granos en el Area RADAR. Lorda, H.; Lucchetti, P.; Bellini Saibene, Y.; Sipowicz, A.; Lacorte, S. Actas de la Primer Jornada de Calidad e identidad Preservada. 11 de Julio de 2001. Bolsa de Cereales de Buenos Aires.",2001,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,,
"Coberturas agrícolas, mercado de futuros y opciones. Lorda, Héctor; Bellini Saibene, Yanina; Sipowicz, Andrés. AgroRADAR. Boletín Informativo Nº 8. ISSN: 1666 - 6852. Pp. 5. Mayo 2001.",2001,Popular science articles,Popular science articles,,
"Distribución de los grupos de calidad de trigo en dos áreas de la región AgroRADAR. Carlos Coma, Yanina Bellini. AgroRADAR Boletín Informativo Nº 15. ISSN: 1666 - 6852. Pp. 11. Diciembre 2001.",2001,Popular science articles,Popular science articles,,
"Estimación del área sembrada. Bellini, Yanina; Lorda, Héctor. AgroRADAR Boletín Informativo Nº 11. ISSN: 1666 - 6852. Pp. 6-7.Agosto 2001.",2001,Popular science articles,Popular science articles,,
"Grupos de Calidad de Trigo. Bellini Saibene Y. Diario La Reforma. General Pico, La Pampa. 7 de Abril de 2001.",2001,Popular science articles,Popular science articles,,
"Informe RADAR – Campaña Agrícola 2000 – 2001. Sorteando Obstáculos. Lorda, H; Bellini Saibene Y. De Frente al Campo Nº 1, Santa Rosa, La Pampa. Enero 2001.",2001,Popular science articles,Popular science articles,,
"La soja ganó la batalla. Lorda, H; Bellini Saibene Y.; Sipowicz A. Diario La Reforma. General Pico, La Pampa. 31 de Marzo de 2001.",2001,Popular science articles,Popular science articles,,
"Lo que queda después del fuego. Sipowicz, A; Lorda, H; Lucchetti, P; Bellini Saibene Y. La Arena del Campo. Diario La Arena. Santa Rosa, La Pampa. 28 de Abril 2001.",2001,Popular science articles,Popular science articles,,
"Los incendios rurales. Bellini Yanina, Lucchetti, Pablo, Lorda, Héctor. Agro RADAR Boletín Informativo Nº 6. ISSN: 1666 - 6852. Pp. 6-7. Marzo 2001.",2001,Popular science articles,Popular science articles,,
"Los resultados del Trigo”. Superficie, rendimiento y producción de la campaña 2001/2002. Lorda, H. Bellini Saibene, Y. AgroRADAR Boletín Informativo Nº 15. ISSN: 1666 - 6852. Pp. 29-30. Diciembre 2001.",2001,Popular science articles,Popular science articles,,
"Orientación de la producción bovina en la región RADAR. Lorda, H; Bellini Saibene Y. Desafio 21 Nº 15. pp 24-25. Junio 2001.",2001,Popular science articles,Popular science articles,,
RADAR Informa. Forrajes & Granos. Agribusiness Journal. Año 6 Nº 71. Diciembre 2001. Páginas 12 a 14.,2001,Popular science articles,Popular science articles,,
"RADAR: Un Movimiento Institucional en Apoyo del Desarrollo Regional. Coma, C.; Sipowicz, A.; Bellini Saibene, Y.; Lorda, H. Actas del VII Encuentro de la Asociación Panamericana de Bolsas de Productos. Buenos Aires. Capital Federal. Argentina. Noviembre de 2001. Buenos Aires.",2001,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,,
"Relevamiento Ganadero. Lorda, H; Bellini Saibene Y. AgroRADAR Boletín Informativo Nº 8. ISSN: 1666 - 6852. Pp. 8. Mayo 2001.",2001,Popular science articles,Popular science articles,,
"Zona VI. Lorda, Héctor; Campi, Eduardo; Bellini, Yanina. Agro RADAR Boletín Informativo Nº 7. ISSN: 1666 - 6852. Pp. 1-3. Abril 2001.",2001,Popular science articles,Popular science articles,,
"Zona VII. Campi, Eduardo; Bellini Saibene, Yanina. AgroRADAR Boletín Informativo Nº 8. ISSN: 1666 - 6852. Pp. 1-3. Mayo 2001.",2001,Popular science articles,Popular science articles,,
"Zona VIII. Campi, Eduardo; Bellini Saibene, Yanina. AgroRADAR Boletín Informativo Nº 9. ISSN: 1666 - 6852. Pp. 1-3. Junio 2001.",2001,Popular science articles,Popular science articles,,
"El trigo en la vidriera. Lorda, H.; Bellini Saibene Y. AgroRADAR. Boletín Informativo Nº 18. ISSN: 1666 - 6852. pp. 38-44. Diciembre 2002.",2002,Popular science articles,Popular science articles,https://inta.gob.ar/documentos/el-trigo-en-la-vidriera,
"Girasol, Los números productivos. Lorda, H.; Bellini Saibene Y. AgroRADAR. Boletín Informativo Nº 16. ISSN: 1666 - 6852. Pp. 27-29. Julio 2002.",2002,Popular science articles,Popular science articles,,
"GIRASOL. Lorda, Héctor y Yanina Bellini Saibene. AgroRADAR Boletín Informativo Nº 16. ISSN: 1666 - 6852. Pp.27-28. Abril 2002.",2002,Popular science articles,Popular science articles,,
"La siembra de trigo. Estimando la superficie. Lorda, H.; Bellini Saibene Y.; Lucchetti P.A. AgroRADAR. Boletín Informativo Nº 17. ISSN: 1666 - 6852. Pp. 12-13. Agosto 2002.",2002,Popular science articles,Popular science articles,https://inta.gob.ar/documentos/la-siembra-de-trigo.-estimando-la-superficie,
"Tecnología Aplicada en Girasol en la región AgroRADAR. Lorda, H.; Bellini Saibene Y.;Roberto, Z. Agromercado. Cuadernillo de Girasol. Pp. 21-26. Octubre 2002.",2002,Popular science articles,Popular science articles,,
"“Caracterización Productiva y Tecnológica de los Cultivos de Verano”. Lorda H, Bellini Saibene Y, Lucchetti P, Roberto Z, Coma C, Farell M y Corro Molas A. Capítulo 1 del Boletín de Divulgación Técnica Nº 77: “Cultivos de Cosecha Gruesa. Actualización 2003”. ISSN: 0325-2167. Agosto 2003.. pp 1 – 39.",2003,Journals,Journals,,
"“Caracterización Tecnológica del Cultivo de Trigo”. Lorda H, Bellini Saibene Y, Lucchetti P, Roberto Z y Coma C. Capítulo de la Publicación de Divulgación Técnica Nº 76: “Trigo. Actualización 2003.” ISSN: 0325-2167. Mayo 2003. pp 134 – 175.",2003,Journals,Journals,,
"Caracterización del Almacenaje de Granos en el Área AgroRADAR. Lorda, H.O.; Lucchetti, P; Roberto Z; Bellini Saibene, Y y Sipowicz, A. 1º Congreso Sobre Producción de Origen Agropecuario del SE Pampeano.28 de Enero al 4 de Febrero de 2003. Necochea, Bs. As.",2003,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,,
"Caracterización tecnológica del cultivo de trigo en la región AgroRadar. Lorda, Héctor; Bellini Saibene, Yanina; Sipowicz, Andrés; Lucchetti, Pablo; Coma, Carlos. AgroRADAR Boletín Informativo Nº 19. ISSN: 1666 - 6852. pp 18-20. Diciembre 2003.",2003,Popular science articles,Popular science articles,,
"En La Pampa, la agricultura mantiene un crecimiento sin límites. Fascículo Pampa Central. Año 1, Nº 1 El Diario de La Pampa. Pp 9 y 15. 4 de Julio 2003",2003,Popular science articles,Popular science articles,,
"Sistema de Información Geográfica. Roberto, Z.; Bellini Saibene, Y.; Lucchetti, P.; Coma, C. RADAR Boletín Informativo Nº 19. ISSN: 1666 - 6852. pp 18-20. Diciembre 2003.",2003,Popular science articles,Popular science articles,,
"“Caracterización Productiva y Tecnológica del Cultivo de Trigo”. Lorda H.O., Lucchetti P., Bellini Saibene Y, Farell M, Roberto Z, Sipowicz A. y Coma C. Boletín de Divulgación Técnica Nº 83. ISSN: 0325-2167. Julio 2004. pp 1- 24.",2004,Journals,Journals,,
"Relevamiento y análisis de la superficie de las explotaciones agropecuarias en el este de La Pampa. Bellini Saibene Y, Lorda H, Farrell, M. Boletín de Divulgación Técnica Nº 84. ISSN: 0325-2132 Junio 2004 - Ediciones INTA",2004,Journals,Journals,https://inta.gob.ar/documentos/relevamiento-y-analisis-de-la-superficie-de-las-explotaciones-agropecuarias-en-el-este-de-la-pampa,
"""Escenarios tecnológicos en el cultivo de trigo según toma de decisiones"". Lorda H., Bellini Saibene Y., Sipowicz A., Lucchetti P., Coma C. Ciclo de Conferencias INTA Expone 2004. ISBN: 10:987-521-202-4 13: 978-987-521-202-2. Conferencias presentadas en el Auditorio Ing. Agr. Guillermo Covas. Volumen III. 2005.",2005,Book Chapters,Book Chapters,,
"""Relevamiento Agro económico en la región pampeana"". Sipowicz A., Roberto Z., Bellini Saibene Y. Ciclo de Conferencias INTA Expone 2004. ISBN: 10:987-521-202-4 13: 978-987-521-202-2. Conferencias presentadas en el Auditorio Ing. Agr. Guillermo Covas. Volumen III. 2005.",2005,Book Chapters,Book Chapters,,
Boletín RIAN La Pampa - San Luis - Abril 2005 - Nro 4,2005,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-abril-2005-nro-4,
Boletín RIAN La Pampa - San Luis - Agosto 2005 - Nro 8,2005,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-agosto-2005-nro-8,
Boletín RIAN La Pampa - San Luis - Agosto 2005 - Nro 9,2005,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-agosto-2005-9,
Boletín RIAN La Pampa - San Luis - Enero 2005 - Nro 1,2005,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-enero-2005-nro-1,
Boletín RIAN La Pampa - San Luis - Febrero 2005 - Nro 2,2005,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-febrero-2005-nro-2,
Boletín RIAN La Pampa - San Luis - Julio 2005 - Nro 7,2005,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-julio-2005-nro-7,
Boletín RIAN La Pampa - San Luis - Junio 2005 - Nro 6,2005,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-junio-2005-nro-6,
Boletín RIAN La Pampa - San Luis - Marzo 2005 - Nro 3,2005,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-marzo-2005-nro-3,
Boletín RIAN La Pampa - San Luis - Mayo 2005 - Nro 5,2005,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-mayo-2005-nro-5,
Boletín RIAN La Pampa - San Luis - Noviembre 2005 -Nro 10,2005,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-noviembre-2005-nro-10,
Boletín RIAN La Pampa - San Luis - Noviembre 2005 -Nro 11,2005,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-noviembre-2005-nro-11,
Boletín RIAN La Pampa - San Luis - Octubre 2005 - Nro 12,2005,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-octubre-2005-nro-12,
"Caracterización del Almacenaje de Granos en la Región Agroradar. Lorda, Héctor; Lucchetti, Pablo; Bellini Saibene, Yanina; Fernandez, Darío. Boletín de Divulgación Técnica Nº 89. ISSN: 0325-2132 Mayo 2005 - Ediciones INTA",2005,Journals,Journals,https://inta.gob.ar/documentos/caracterizacion-del-almacenaje-de-granos-en-la-region-agroradar,
"Cartas Agroclimaticas De Temperaturas, Heladas Y Lluvia De La Provincia De La Pampa (Argentina). Casagrande, G.A; Vergara, G.T. y Bellini, Y. IX Congreso Argentino de Agrometerologia. Octubre de 2005.",2005,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,,
"Cosecha gruesa, soja, maíz y girasol. Manual de campo",2005,Colaboración,Book Chapters,https://inta.gob.ar/documentos/cosecha-gruesa-soja-maiz-y-girasol-manual-de-campo,
"AgroSys N° 1. Boletín Informativo Grupo de Sistemas-Información y Comunicación de la EEA Anguil. Bellini Saibene, Y. Lucchetti, P.A, Ferreyra C.A. Caldera, JC, Ramos, L., Fernandez, MD, Schaab, L, Etchart, F. Garro, RJA. Noviembre 2006",2006,Newsletter,Popular science articles,,
"AgroSys N° 2. Boletín Informativo Grupo de Sistemas-Información y Comunicación de la EEA Anguil. Bellini Saibene, Y. Lucchetti, P.A, Ferreyra C.A. Caldera, JC, Ramos, L., Fernandez, MD, Schaab, L, Etchart, F. Garro, RJA. Diciembre 2006",2006,Newsletter,Popular science articles,,
"Boletín Enlaces N° 1. Newsletter informativo Proyecto Estructurante del SICyC. Bellini Saibene, Y. Zubillaja, J., Franco, L., Lucchetti, P., Godoy, S., Chavero, A., Cáceres, A, Nani, L. Noviembre 2006.",2006,Newsletter,Popular science articles,,
"Boletín Enlaces N° 2. Newsletter informativo Proyecto Estructurante del SICyC. Bellini Saibene, Y. Zubillaja, J., Franco, L., Lucchetti, P., Godoy, S., Chavero, A., Cáceres, A, Nani, L. Diciembre 2006.",2006,Newsletter,Popular science articles,,
Boletín RIAN La Pampa - San Luis - Abril 2006 -Nro 24,2006,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-abril-2006-24,
Boletín RIAN La Pampa - San Luis - Agosto 2006 - Nro 27,2006,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-Agosto-2006-27,
Boletín RIAN La Pampa - San Luis - Diciembre 2006 - Nro 33,2006,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-diciembre-2006-nro-33,
Boletín RIAN La Pampa - San Luis - Enero 2006 - Nro 14,2006,Newsletter,Popular science articles,https://inta.gob.ar/documentos/copy_of_boletin-rian-la-pampa-san-luis-enero-2006,
Boletín RIAN La Pampa - San Luis - Enero 2006 -Nro 15,2006,Newsletter,Popular science articles,https://inta.gob.ar/documentos/copy_of_boletin-rian-la-pampa-san-luis-enero-2006-15,
Boletín RIAN La Pampa - San Luis - Enero 2006 -Nro 16,2006,Newsletter,Popular science articles,https://inta.gob.ar/documentos/copy_of_boletin-rian-la-pampa-san-luis-enero-2006-16,
Boletín RIAN La Pampa - San Luis - Enero 2006 -Nro 17,2006,Newsletter,Popular science articles,https://inta.gob.ar/documentos/copy_of_boletin-rian-la-pampa-san-luis-enero-2006-17,
Boletín RIAN La Pampa - San Luis - Enero 2006 -Nro 18,2006,Newsletter,Popular science articles,https://inta.gob.ar/documentos/copy_of_boletin-rian-la-pampa-san-luis-enero-2006-18,
Boletín RIAN La Pampa - San Luis - Enero 2006 -Nro 19,2006,Newsletter,Popular science articles,https://inta.gob.ar/documentos/copy_of_boletin-rian-la-pampa-san-luis-enero-2006-19,
Boletín RIAN La Pampa - San Luis - Enero 2006 -Nro 20,2006,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-enero-2006-20,
Boletín RIAN La Pampa - San Luis - Febrero 2006 -Nro 21,2006,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-febrero-2006-21,
Boletín RIAN La Pampa - San Luis - Julio 2006 -Nro 26,2006,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-Julio-2006-26,
Boletín RIAN La Pampa - San Luis - Junio 2006 -Nro 25,2006,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-Junio-2006-25,
Boletín RIAN La Pampa - San Luis - Marzo 2006 -Nro 22,2006,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-marzo-2006-22,
Boletín RIAN La Pampa - San Luis - Mayo 2006 -Nro 23,2006,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-mayo-2006-23,
Boletín RIAN La Pampa - San Luis - Noviembre 2006 - Nro 30,2006,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-Noviembre-2006-30,
Boletín RIAN La Pampa - San Luis - Noviembre 2006 - Nro 31,2006,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-Noviembre-2006-31,
Boletín RIAN La Pampa - San Luis - Noviembre 2006 - Nro 32,2006,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-noviembre-2006-nro-32,
Boletín RIAN La Pampa - San Luis - Octubre 2006 - Nro 29,2006,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-Octubre-2006-29,
Boletín RIAN La Pampa - San Luis - Septiembre 2006 - Nro 28,2006,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-Septiembre-2006-28,
"Cartas Agroclimáticas actuales de temperaturas, heladas y lluvias de la provincia de La Pampa (Argentina). Casagrande, G.A,; Vergara, G.T; Bellini, Y. Revista Facultad de Agronomía UNLPam. Vol. 17 Nº 1. ISSN 0326-6184.pp 15 – 21. 2006.",2006,Journals,Journals,,
"AgroSys N° 10. Boletín Informativo Grupo de Sistemas-Información y Comunicación de la EEA Anguil. Bellini Saibene, Y. Lucchetti, P.A, Ferreyra C.A. Caldera, JC, Ramos, L., Fernandez, MD, Schaab, L, Etchart, F. Garro, RJA. Noviembre 2007",2007,Newsletter,Popular science articles,,
"AgroSys N° 3. Boletín Informativo Grupo de Sistemas-Información y Comunicación de la EEA Anguil. Bellini Saibene, Y. Lucchetti, P.A, Ferreyra C.A. Caldera, JC, Ramos, L., Fernandez, MD, Schaab, L, Etchart, F. Garro, RJA. Febrero 2007.",2007,Newsletter,Popular science articles,,
"AgroSys N° 4. Boletín Informativo Grupo de Sistemas-Información y Comunicación de la EEA Anguil. Bellini Saibene, Y. Lucchetti, P.A, Ferreyra C.A. Caldera, JC, Ramos, L., Fernandez, MD, Schaab, L, Etchart, F. Garro, RJA. Marzo 2007.",2007,Newsletter,Popular science articles,,
"AgroSys N° 5. Boletín Informativo Grupo de Sistemas-Información y Comunicación de la EEA Anguil. Bellini Saibene, Y. Lucchetti, P.A, Ferreyra C.A. Caldera, JC, Ramos, L., Fernandez, MD, Schaab, L, Etchart, F. Garro, RJA. Abril 2007.",2007,Newsletter,Popular science articles,,
"AgroSys N° 6. Boletín Informativo Grupo de Sistemas-Información y Comunicación de la EEA Anguil. Bellini Saibene, Y. Lucchetti, P.A, Ferreyra C.A. Caldera, JC, Ramos, L., Fernandez, MD, Schaab, L, Etchart, F. Garro, RJA. Mayo 2007.",2007,Newsletter,Popular science articles,,
"AgroSys N° 7. Boletín Informativo Grupo de Sistemas-Información y Comunicación de la EEA Anguil. Bellini Saibene, Y. Lucchetti, P.A, Ferreyra C.A. Caldera, JC, Ramos, L., Fernandez, MD, Schaab, L, Etchart, F. Garro, RJA. Junio 2007",2007,Newsletter,Popular science articles,,
"AgroSys N° 8. Boletín Informativo Grupo de Sistemas-Información y Comunicación de la EEA Anguil. Bellini Saibene, Y. Lucchetti, P.A, Ferreyra C.A. Caldera, JC, Ramos, L., Fernandez, MD, Schaab, L, Etchart, F. Garro, RJA. Agosto 2007.",2007,Newsletter,Popular science articles,,
"AgroSys N° 9. Boletín Informativo Grupo de Sistemas-Información y Comunicación de la EEA Anguil. Bellini Saibene, Y. Lucchetti, P.A, Ferreyra C.A. Caldera, JC, Ramos, L., Fernandez, MD, Schaab, L, Etchart, F. Garro, RJA. Octubre 2007",2007,Newsletter,Popular science articles,,
"Boletín Enlaces N° 10. Newsletter informativo Proyecto Estructurante del SICyC. Bellini Saibene, Y. Zubillaja, J., Franco, L., Lucchetti, P., Godoy, S., Chavero, A., Cáceres, A, Nani, L. Octubre 2007",2007,Newsletter,Popular science articles,,
"Boletín Enlaces N° 11. Newsletter informativo Proyecto Estructurante del SICyC. Bellini Saibene, Y. Zubillaja, J., Franco, L., Lucchetti, P., Godoy, S., Chavero, A., Cáceres, A, Nani, L. Noviembre 2007",2007,Newsletter,Popular science articles,,
"Boletín Enlaces N° 12. Newsletter informativo Proyecto Estructurante del SICyC. Bellini Saibene, Y. Zubillaja, J., Franco, L., Lucchetti, P., Godoy, S., Chavero, A., Cáceres, A, Nani, L. Diciembre 2007",2007,Newsletter,Popular science articles,,
"Boletín Enlaces N° 3. Newsletter informativo Proyecto Estructurante del SICyC. Bellini Saibene, Y. Zubillaja, J., Franco, L., Lucchetti, P., Godoy, S., Chavero, A., Cáceres, A, Nani, L. Febrero 2007",2007,Newsletter,Popular science articles,,
"Boletín Enlaces N° 4. Newsletter informativo Proyecto Estructurante del SICyC. Bellini Saibene, Y. Zubillaja, J., Franco, L., Lucchetti, P., Godoy, S., Chavero, A., Cáceres, A, Nani, L. Marzo 2007",2007,Newsletter,Popular science articles,,
"Boletín Enlaces N° 5. Newsletter informativo Proyecto Estructurante del SICyC. Bellini Saibene, Y. Zubillaja, J., Franco, L., Lucchetti, P., Godoy, S., Chavero, A., Cáceres, A, Nani, L. Abril 2007",2007,Newsletter,Popular science articles,,
"Boletín Enlaces N° 6. Newsletter informativo Proyecto Estructurante del SICyC. Bellini Saibene, Y. Zubillaja, J., Franco, L., Lucchetti, P., Godoy, S., Chavero, A., Cáceres, A, Nani, L. Mayo 2007",2007,Newsletter,Popular science articles,,
"Boletín Enlaces N° 7. Newsletter informativo Proyecto Estructurante del SICyC. Bellini Saibene, Y. Zubillaja, J., Franco, L., Lucchetti, P., Godoy, S., Chavero, A., Cáceres, A, Nani, L. Junio 2007",2007,Newsletter,Popular science articles,,
"Boletín Enlaces N° 8. Newsletter informativo Proyecto Estructurante del SICyC. Bellini Saibene, Y. Zubillaja, J., Franco, L., Lucchetti, P., Godoy, S., Chavero, A., Cáceres, A, Nani, L. Agosto 2007",2007,Newsletter,Popular science articles,,
"Boletín Enlaces N° 9. Newsletter informativo Proyecto Estructurante del SICyC. Bellini Saibene, Y. Zubillaja, J., Franco, L., Lucchetti, P., Godoy, S., Chavero, A., Cáceres, A, Nani, L. Septiembre 2007",2007,Newsletter,Popular science articles,,
Boletín RIAN La Pampa - San Luis - Abril 2007 - Nro 37,2007,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-abril-2007-nro-37,
Boletín RIAN La Pampa - San Luis - Agosto y Septiembre 2007 - Nro 40,2007,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-Agosto-Septiembre-2007-40,
Boletín RIAN La Pampa - San Luis - Enero 2007 - Nro 34,2007,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-Enero-2007-34,
Boletín RIAN La Pampa - San Luis - Febrero 2007 - Nro 35,2007,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-Febrero-2007-35,
Boletín RIAN La Pampa - San Luis - Junio 2007 - Nro 39,2007,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-Junio-2007-39,
Boletín RIAN La Pampa - San Luis - Marzo 2007 - Nro 36,2007,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-marzo-2007-nro-36,
Boletín RIAN La Pampa - San Luis - Mayo 2007 - Nro 38,2007,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-mayo-2007-nro-38,
Boletín RIAN La Pampa - San Luis - Noviembre 2007 - Nro 41,2007,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-noviembre-2007-nro-41,
Boletín RIAN La Pampa - San Luis - Noviembre 2007 - Nro 42,2007,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-noviembre-2007-nro-42,
Boletín RIAN La Pampa - San Luis - Noviembre 2007 - Nro 44,2007,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-Noviembre-2007-44,
Boletín RIAN La Pampa - San Luis - Octubre 2007 - Nro 43,2007,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-Octubre-2007-43,
"CD Interactivo SIG AgroRADAR 1999-2004. Daitsch, Nicolas; Bellini, Yanina; Lucchetti, Pablo; Caldera, Juan; Ramos, Lucas; Lorda, Héctor; Roberto Zinda; Cepeda, Jorge; Pezzola, Alejandro. Boletín de Divulgación Técnica Nº 92. ISSN:0325-2132. Junio 2007 - Ediciones INTA",2007,Journals,Journals,https://inta.gob.ar/documentos/cd-interactivo-sig-agroradar-1999-2004,
"Delegación de técnicos venezolanos. Bellini, Yanina; Lorda, Héctor. Horizonte agropecuario Nº 74. Noviembre de 2007.",2007,Popular science articles,Popular science articles,,
"Implementacion de un sistema de información geoespacial en recursos naturales. Mercuri,P.; Bordignon,F.; Cruzate,G.; Bellini,Y.; Ramos,L. Congreso de la asociación española de teledetección, Mar del Plata. Argentina. 2007.",2007,"En Congresos, Seminarios, Simposios y Jornadas Internacionales",International Conferences,,
